ID|Municipio|UF|Latitude|Longitude
343|MIRASSOL|SP|-20.8190|-49.5210
344|MIRASSOLANDIA|SP|-20.6170|-49.4640
345|MOCOCA|SP|-21.4680|-47.0050
346|MOGI DAS CRUZES|SP|-23.5230|-46.1880
347|MOGI GUACU|SP|-22.3720|-46.9420
348|MOJI MIRIM|SP|-22.4320|-46.9580
349|MOMBUCA|SP|-22.9290|-47.5660
350|MONCOES|SP|-20.8500|-50.0920
351|MONGAGUA|SP|-24.0870|-46.6290
352|MONTE ALEGRE DO SUL|SP|-22.6820|-46.6810
353|MONTE ALTO|SP|-21.2610|-48.4960
354|MONTE APRAZIVEL|SP|-20.7730|-49.7140
355|MONTE AZUL PAULISTA|SP|-20.9070|-48.6410
356|MONTE CASTELO|SP|-21.2990|-51.5690
357|MONTE MOR|SP|-22.9470|-47.3160
358|MONTEIRO LOBATO|SP|-22.9570|-45.8400
359|MORRO AGUDO|SP|-20.7310|-48.0580
360|MORUNGABA|SP|-22.8800|-46.7920
361|MOTUCA|SP|-21.5080|-48.1510
362|MURUTINGA DO SUL|SP|-20.9930|-51.2780
363|NANTES|SP|-22.6210|-51.2370
364|NARANDIBA|SP|-22.4070|-51.5240
365|NATIVIDADE DA SERRA|SP|-23.3760|-45.4420
366|NAZARE PAULISTA|SP|-23.1810|-46.3950
367|NEVES PAULISTA|SP|-20.8460|-49.6300
368|NHANDEARA|SP|-20.6940|-50.0380
369|NIPOA|SP|-20.9130|-49.7780
370|NOVA ALIANCA|SP|-21.0160|-49.4960
371|NOVA CAMPINA|SP|-24.1210|-48.9040
372|NOVA CANAA PAULISTA|SP|-20.3860|-50.9490
373|NOVA CASTILHO|SP|-20.7630|-50.3430
374|NOVA EUROPA|SP|-21.7780|-48.5610
375|NOVA GRANADA|SP|-20.5340|-49.3140
376|NOVA GUATAPORANGA|SP|-21.3340|-51.6440
377|NOVA INDEPENDENCIA|SP|-21.1040|-51.4900
378|NOVA LUZITANIA|SP|-20.8560|-50.2620
379|NOVA ODESSA|SP|-22.7780|-47.2960
380|NOVAIS|SP|-20.9920|-48.9190
381|NOVO HORIZONTE|SP|-21.4680|-49.2210
382|NUPORANGA|SP|-20.7300|-47.7490
383|OCAUCU|SP|-22.4390|-49.9230
384|OLEO|SP|-22.9410|-49.3420
385|OLIMPIA|SP|-20.7370|-48.9150
386|ONDA VERDE|SP|-20.6140|-49.2990
387|ORIENTE|SP|-22.1530|-50.0910
388|ORINDIUVA|SP|-20.1820|-49.3510
389|ORLANDIA|SP|-20.7200|-47.8870
390|OSASCO|SP|-23.5330|-46.7920
391|OSCAR BRESSANE|SP|-22.3180|-50.2810
392|OSVALDO CRUZ|SP|-21.7970|-50.8900
393|OURINHOS|SP|-22.9790|-49.8710
394|OURO VERDE|SP|-21.4890|-51.7000
395|OUROESTE|SP|-20.0010|-50.3720
396|PACAEMBU|SP|-21.5620|-51.2610
397|PALESTINA|SP|-20.3900|-49.4330
398|PALMARES PAULISTA|SP|-21.0830|-48.8010
399|PALMEIRA D'OESTE|SP|-20.4160|-50.7620
400|PALMITAL|SP|-22.7890|-50.2180
401|PANORAMA|SP|-21.3560|-51.8600
402|PARAGUACU PAULISTA|SP|-22.4130|-50.5760
403|PARAIBUNA|SP|-23.3860|-45.6620
404|PARAISO|SP|-21.0160|-48.7740
405|PARANAPANEMA|SP|-23.3890|-48.7230
406|PARANAPUA|SP|-20.1030|-50.5860
407|PARAPUA|SP|-21.7830|-50.7930
408|PARDINHO|SP|-23.0810|-48.3740
409|PARIQUERA-ACU|SP|-24.7150|-47.8810
410|PARISI|SP|-20.3040|-50.0150
411|PATROCINIO PAULISTA|SP|-20.6390|-47.2820
412|PAULICEIA|SP|-21.3180|-51.8310
413|PAULINIA|SP|-22.7610|-47.1540
414|PAULISTANIA|SP|-22.5780|-49.4030
415|PAULO DE FARIA|SP|-20.0310|-49.3830
416|PEDERNEIRAS|SP|-22.3520|-48.7750
417|PEDRA BELA|SP|-22.7930|-46.4430
418|PEDRANOPOLIS|SP|-20.2480|-50.1100
419|PEDREGULHO|SP|-20.2570|-47.4770
420|PEDREIRA|SP|-22.7420|-46.9010
421|PEDRINHAS PAULISTA|SP|-22.8150|-50.7940
422|PEDRO DE TOLEDO|SP|-24.2750|-47.2330
423|PENAPOLIS|SP|-21.4200|-50.0780
424|PEREIRA BARRETO|SP|-20.6380|-51.1090
425|PEREIRAS|SP|-23.0760|-47.9760
426|PERUIBE|SP|-24.3200|-46.9980
427|PIACATU|SP|-21.5920|-50.5990
428|PIEDADE|SP|-23.7120|-47.4280
429|PILAR DO SUL|SP|-23.8130|-47.7160
430|PINDAMONHANGABA|SP|-22.9240|-45.4620
431|PINDORAMA|SP|-21.1860|-48.9070
432|PINHALZINHO|SP|-22.7790|-46.5910
433|PIQUEROBI|SP|-21.8680|-51.7290
434|PIQUETE|SP|-22.6140|-45.1760
435|PIRACAIA|SP|-23.0540|-46.3580
436|PIRACICABA|SP|-22.7250|-47.6490
437|PIRAJU|SP|-23.1940|-49.3840
438|PIRAJUI|SP|-21.9990|-49.4570
439|PIRANGI|SP|-21.0910|-48.6580
440|PIRAPORA DO BOM JESUS|SP|-23.3970|-47.0020
441|PIRAPOZINHO|SP|-22.2750|-51.5000
442|PIRASSUNUNGA|SP|-21.9960|-47.4260
443|PIRATININGA|SP|-22.4130|-49.1350
444|PITANGUEIRAS|SP|-21.0090|-48.2220
445|PLANALTO|SP|-21.0340|-49.9290
446|PLATINA|SP|-22.6380|-50.2040
447|POA|SP|-23.5280|-46.3450
448|POLONI|SP|-20.7850|-49.8240
449|POMPEIA|SP|-22.1090|-50.1720
450|PONGAI|SP|-21.7360|-49.3670
451|PONTAL|SP|-21.0230|-48.0370
452|PONTALINDA|SP|-20.4410|-50.5230
453|PONTES GESTAL|SP|-20.1670|-49.7030
454|POPULINA|SP|-19.9540|-50.5380
455|PORANGABA|SP|-23.1760|-48.1250
456|PORTO FELIZ|SP|-23.2150|-47.5240
457|PORTO FERREIRA|SP|-21.8540|-47.4790
458|POTIM|SP|-22.8430|-45.2510
459|POTIRENDABA|SP|-21.0430|-49.3770
460|PRACINHA|SP|-21.8510|-51.0870
461|PRADOPOLIS|SP|-21.3590|-48.0660
462|PRAIA GRANDE|SP|-24.0060|-46.4030
463|PRATANIA|SP|-22.8080|-48.6660
464|PRESIDENTE ALVES|SP|-22.1000|-49.4380
465|PRESIDENTE BERNARDES|SP|-22.0060|-51.5530
466|PRESIDENTE EPITACIO|SP|-21.7630|-52.1160
467|PRESIDENTE PRUDENTE|SP|-22.1260|-51.3890
468|PRESIDENTE VENCESLAU|SP|-21.8760|-51.8440
469|PROMISSAO|SP|-21.5370|-49.8580
470|QUADRA|SP|-23.2990|-48.0550
471|QUATA|SP|-22.2480|-50.6980
472|QUEIROZ|SP|-21.7990|-50.2400
473|QUELUZ|SP|-22.5370|-44.7740
